simulation_id,Uhub,Hs,Tp,CurrentSpeed
757,48.9,8.7,11.55,0.97
758,48.9,11.8,14.5,1.44
759,48.9,11.8,14.5,1.44
760,48.9,11.8,15.95,1.44
761,48.9,13.6,17.05,1.44
762,48.9,13.6,15.5,1.44
763,48.9,11.8,13.05,1.44
764,48.9,11.8,14.5,1.44
765,48.9,8.7,11.55,0.97
766,48.9,11.8,13.05,1.44
767,48.9,11.8,15.95,1.44
768,48.9,13.6,17.05,1.44
769,48.9,11.8,13.05,1.44
770,48.9,11.8,14.5,1.44
771,48.9,13.6,17.05,1.44
772,48.9,13.6,17.05,1.44
773,48.9,13.6,17.05,1.44
774,48.9,13.6,13.95,1.44
775,48.9,13.6,13.95,1.44
776,48.9,11.8,14.5,1.44
777,48.9,13.6,17.05,1.44
778,48.9,11.8,14.5,1.44
779,48.9,13.6,15.5,1.44
780,48.9,13.6,15.5,1.44
781,48.9,13.6,13.95,1.44
