foundation_origin z FloaterHeave [m],foundation_origin Rz FloaterYaw [deg],foundation_origin xy FloaterOffset [m],foundation_origin Rxy FloaterTilt [deg],CEN_E3 Resultant bending moment ArcLength=2.72 [kN.m],MooringLine1 Effective tension Fairlead [kN],MooringLine2 Effective tension Fairlead [kN],MooringLine3 Effective tension Fairlead [kN],MooringLine4 Effective tension Fairlead [kN],MooringLine5 Effective tension Fairlead [kN],foundation_origin Mooring GXY Resultant force [kN],GE14-220 GXY acceleration [m/s^2]
3.4156740506490073,1.068601184977625,33.2129535451895,5.7476713972545594,722504.697915894,2548.5891927083335,1811.73095703125,1603.8332112630208,10798.5185546875,3587.7359212239585,10341.847561309049,3.494865220318818
4.319083531697591,-0.9306366020004261,31.603213516499363,6.159660319204453,717442.6780707563,2308.1214192708335,1652.1551106770833,1554.4828287760417,9808.0029296875,3288.4034830729165,9208.177139338777,2.7956218005235036
4.234376271565755,-0.9470835819066354,31.876920214916904,6.105279257498459,654619.1611932111,2273.0406901041665,1665.0940755208333,1648.1561686197917,10310.802083333334,3259.1298014322915,9499.382739319104,2.6432973963167314
3.432807286580404,3.385078607220716,31.268992660833547,4.635942244026403,631516.8358874195,2445.3706868489585,1717.2371826171875,1814.9958089192708,9776.547200520834,3487.9639485677085,9409.344754050517,3.106352454217278
4.404605706532796,0.7543513138326746,28.454176482782177,5.036705255633932,590723.7359216851,2262.0977376302085,1596.2449137369792,1708.5978597005208,8551.722981770834,3187.0099283854165,8127.3815179359035,2.5962805309183694
4.335476875305176,1.5311860629482972,29.001725807450942,5.049873833229843,557982.9266819624,2195.6678873697915,1619.0753987630208,1815.3590901692708,8933.680338541666,3129.3607584635415,8242.650440893667,2.45094682636344
4.5957527955373125,6.8355958339232465,34.47760903432839,5.360730724620891,567355.6508646697,5330.683268229167,3983.88134765625,1578.8344319661458,6191.756673177083,6526.70947265625,13964.64653370844,3.055050270018795
5.004017512003581,4.111695546615632,33.99426452150955,5.2686190239658215,529085.5235171221,4553.857177734375,3077.3902994791665,1766.5093180338542,6527.033854166667,6208.916178385417,12106.156567050804,2.909016774831682
5.831546783447266,4.794413721850016,31.215278693026892,5.377346281869223,547773.0864565782,4572.280924479167,3233.3079427083335,1738.1656087239583,6411.64599609375,5922.497721354167,11873.170608802771,2.8581783159258296
3.4879258473714194,5.341872451437971,37.80443713089421,7.250656009536791,802299.9823197479,6417.14794921875,4635.16455078125,1289.1732584635417,6752.168619791667,8059.28369140625,17206.642602470496,3.3541296065695767
3.657696564992269,3.6156710585378318,36.56922056505528,6.843843079814924,712441.2657562193,5261.643391927083,3475.7154134114585,1523.4569498697917,6768.794759114583,7357.6376953125,14254.031767081804,3.0818956670997735
